index,keywords,cast,genres,director,title
1022,extraterrestrial hospital patient planet science,Jeff Bridges Kevin Spacey Alfre Woodard,Drama Mystery Sci-Fi,Iain Softley,K-PAX
1023,bridge brooklyn bridge falling down an elevator shaft time travel time travel romance,Natasha Lyonne Hugh Jackman Bradley Whitford,Comedy Fantasy Romance,James Mangold,Kate & Leopold
1024,contract devil dream soul wish,Frances O'Connor Brendan Fraser Brian Doyle-Murray,Comedy Fantasy Romance,Harold Ramis,Bedazzled
1025,brothers hugging jazz jealousy nudity parole violation,Bob Hoskins Nicolas Cage Fred Gwynne,Crime Drama Music,Francis Ford Coppola,The Cotton Club
1026,outlaw rancher small western town stagecoach train,Logan Lerman Christian Bale Gretchen Mol,Adventure Crime Drama Western,James Mangold,3:10 to Yuma
1027,betrayal death final showdown murder on the run,Dougray Scott Liam Neeson Jon Gries,Action Thriller,Olivier Megaton,Taken 3
1028,heist neo noir one last job opposites attract u.s. marshal,Albert Brooks Don Cheadle Keith Hudson,Crime Drama Romance Thriller,Steven Soderbergh,Out of Sight
1029,cable guy foreplay friend kissing television,Janeane Garofalo Matthew Broderick Andy Dick,Comedy Drama Thriller,Ben Stiller,The Cable Guy
1030,friend hindu india muslim sikh,Gulshan Grover Nandita Das Eric Peterson,Drama Romance War,Deepa Mehta,Earth
1031,crime boss detective dick tracy gangster orphan,Warren Beatty Charlie Korsmo Seymour Cassel,Action Comedy Crime Music Romance Thriller,Warren Beatty,Dick Tracy
1032,art insurance investigator martinique painting trust,Faye Dunaway Mark Margolis Denis Leary,Crime Romance Thriller,John McTiernan,The Thomas Crown Affair
1033,boy college heroin working class writer,Adam Garcia Rosie Perez Alissa Dean,Biography Comedy Drama,Penny Marshall,Riding in Cars with Boys
1034,1980s colonel deputy rambo sheriff,Brian Dennehy Sylvester Stallone Chris Mulkey,Action Adventure Drama,Ted Kotcheff,First Blood
1035,hallucination ocean psychologist scientist space station,Anatoliy Solonitsyn Donatas Banionis Natalya Bondarchuk,Drama Mystery Sci-Fi,Andrei Tarkovsky,Solaris
1036,apostrophe in title cinderella first of series punctuation in title three word title,George Carlin Sarah Michelle Gellar Rob Paulsen,Adventure Animation Comedy Family Fantasy,Paul Bolger,Happily N'Ever After
1037,19th century butler housemaid laboratory servant,Bronagh Gallagher Julia Roberts George Cole,Drama Horror Romance Thriller,Stephen Frears,Mary Reilly
1038,best friend chick flick male female friendship promise wedding,Christopher Masterson Julia Roberts Rupert Everett,Comedy Romance,P.J. Hogan,My Best Friend's Wedding
1039,actor love movie star press publicist,Rainn Wilson Julia Roberts Larry King,Comedy Romance,Joe Roth,America's Sweethearts
1040,detective insomnia murder partner police,Maura Tierney Al Pacino Crystal Lowe,Drama Mystery Thriller,Christopher Nolan,Insomnia
1041,21st century borg borg sphere captain sphere,Alfre Woodard LeVar Burton Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,Jonathan Frakes,Star Trek: First Contact
1042,confederate death independence day military terrorist,Billy Blair Michael Fassbender Julia Jones,Action Drama Fantasy Thriller Western,Jimmy Hayward,Jonah Hex
1043,bravery honor medal of honor military life unreliable flashback,Matt Damon Denzel Washington Scott Glenn,Action Drama Mystery Thriller War,Edward Zwick,Courage Under Fire
1044,birthday birthday wish father disappoints child lie workaholic,Swoosie Kurtz Maura Tierney Randall 'Tex' Cobb,Comedy Fantasy Romance,Tom Shadyac,Liar Liar
1045,1950s douglas macarthur general inchon invasion,Ben Gazzara Laurence Olivier Jacqueline Bisset,Drama History War,Terence Young,Inchon
1046,1000000 b.c. box office hit lawn mowing product placement stone age,Elizabeth Perkins Jonathan Winters Harvey Korman,Comedy Family Fantasy,Brian Levant,The Flintstones
1047,albanian revenge revenge motive teenage daughter vacation,Luke Grimes Liam Neeson D.B. Sweeney,Action Crime Thriller,Olivier Megaton,Taken 2
1048,crop circle farm orchestral music score reference to michael jackson videotape,Pamela Anderson Regina Hall Jenny McCarthy,Comedy,David Zucker,Scary Movie 3
1049,beauty pageant fbi female agent pageant undercover,Wendy Raquel Robinson Candice Bergen Heather Burns,Action Comedy Crime Romance,Donald Petrie,Miss Congeniality
1050,cave lost world missing brother mountain venus flytrap,Brendan Fraser Josh Hutcherson Anita Briem,Action Adventure Family Fantasy Sci-Fi,Eric Brevig,Journey to the Center of the Earth
1051,coronation horse princess queen side saddle,Raven-Symoné Anne Hathaway Hector Elizondo,Comedy Family Romance,Garry Marshall,The Princess Diaries 2: Royal Engagement
1052,college professor fbi president professor supreme court,Julia Roberts Denzel Washington Tony Goldwyn,Crime Drama Mystery Thriller,Alan J. Pakula,The Pelican Brief
1053,boy brother lawyer mafia senator,Anthony LaPaglia Bradley Whitford Brad Renfro,Crime Drama Mystery Thriller,Joel Schumacher,The Client
1054,billionaire friend hospital list mechanic,Noel Gugliemi Morgan Freeman Sean Hayes,Adventure Comedy Drama,Rob Reiner,The Bucket List
1055,analyst cia ira terrorist terrorist attack,Polly Walker Harrison Ford Patrick Bergin,Action Thriller,Phillip Noyce,Patriot Games
1056,breakdown fight mother in law scheme wedding,Jane Fonda Adam Scott Elaine Stritch,Comedy Romance,Robert Luketic,Monster-in-Law
1057,child abduction detective investigation police sex offender,Jake Gyllenhaal Hugh Jackman Dylan Minnette,Crime Drama Mystery Thriller,Denis Villeneuve,Prisoners
1058,lapd narc narcotics title spoken by character training,Snoop Dogg Denzel Washington Tom Berenger,Crime Drama Thriller,Antoine Fuqua,Training Day
1059,alien alien race convention fan general,Enrico Colantoni Alan Rickman Robin Sachs,Adventure Comedy Sci-Fi,Dean Parisot,Galaxy Quest
1060,blow job demon exorcism priest professor,Veronica Cartwright Natasha Lyonne Andy Richter,Comedy,Keenen Ivory Wayans,Scary Movie 2
1061,bel air california book friends who live together the muppets tribute band,Eric Jacobson Bill Cobbs Steve Whitmire,Adventure Comedy Family Musical,James Bobin,The Muppets
1062,1990s blade blood vampire vampire hunter,Traci Lords Sanaa Lathan Udo Kier,Action Horror,Stephen Norrington,Blade
1063,basketball basketball coach coach contract high school,Rick Gonzalez Channing Tatum Robert Ri'chard,Drama Sport,Thomas Carter,Coach Carter
1064,car accident feud lawyer revenge road rage,Matt Malloy Sydney Pollack Bruce Altman,Drama Thriller,Roger Michell,Changing Lanes
1065,amazon anaconda boat jungle snake,Eric Stoltz Frank Welker Kari Wuhrer,Action Adventure Horror Thriller,Luis Llosa,Anaconda
1066,girl in panties lift skirt sexual attraction short shorts songwriter,Tyra Banks Adam Garcia Izabella Miko,Comedy Drama Music Romance,David McNally,Coyote Ugly
1067,aging rocker christmas love at first sight minister prime minister,Liam Neeson Colin Firth Kris Marshall,Comedy Drama Romance,Richard Curtis,Love Actually
1068,ant circus grasshopper misunderstanding overhearing,Madeline Kahn Kevin Spacey John Ratzenberger,Adventure Animation Comedy Family Fantasy,John Lasseter,A Bug's Life
1069,freemason jack the ripper opium prostitute victorian era,Jason Flemyng Johnny Depp Ian Richardson,Horror Mystery Thriller,Albert Hughes,From Hell
1070,bomb cia explosive explosives expert miami florida,Rod Steiger Sylvester Stallone Emilio Estefan Jr.,Action Crime Drama Romance Thriller,Luis Llosa,The Specialist
1071,driving range golf golfer tournament winnebago,Cheech Marin Don Johnson Rene Russo,Comedy Drama Romance Sport,Ron Shelton,Tin Cup
1072,nurse parent sibling widow widower,Tom Bosley Lucille Ball Tim Matheson,Comedy Family,Melville Shavelson,"Yours, Mine and Ours"
1073,book child slapstick comedy soccer suburb,Will Ferrell Josh Hutcherson Robert Duvall,Comedy Family Romance Sport,Jesse Dylan,Kicking & Screaming
1074,alien friend galaxy hyperspace spaceship,Kelly Macdonald Zooey Deschanel Thomas Lennon,Adventure Comedy Sci-Fi,Garth Jennings,The Hitchhiker's Guide to the Galaxy
1075,animated sequence junkyard love party television,Nick Zano Dania Ramirez Alice Greczyn,Comedy Family Fantasy Romance,Joel Zwick,Fat Albert
1076,clone convoy crow desert satellite,Mike Epps Milla Jovovich James Tumminia,Action Horror Sci-Fi Thriller,Russell Mulcahy,Resident Evil: Extinction
1077,blind date children date daughter son,Adam Sandler Bella Thorne Joel McHale,Comedy Romance,Frank Coraci,Blended
1078,chef congressman cook hotel senator,Alicia Witt LL Cool J Timothy Hutton,Adventure Comedy Drama,Wayne Wang,Last Holiday
1079,criminal rafting river robber white water rafting,Glenn Morshower Meryl Streep William Lucking,Action Adventure Crime Thriller,Curtis Hanson,The River Wild
1080,best friend birthday boy friend magic,Vincent Kartheiser Steve Coogan David Keith,Drama Family Fantasy,Frank Oz,The Indian in the Cupboard
1081,arms tied overhead damsel in distress dea marijuana southern california,Shea Whigham Demián Bichir Gary Stretch,Crime Drama Thriller,Oliver Stone,Savages
1082,cell phone distress signal family in danger police stealing a car,Valerie Cruz Richard Burgi Will Beinbrink,Action Crime Thriller,David R. Ellis,Cellular
1083,british crown jewels explosion funeral spy,Natalie Imbruglia Kevin McNally Ben Miller,Action Adventure Comedy,Peter Howitt,Johnny English
1084,ant miniaturization punishment shrinking sudden change in size,Meryl Streep Nicolas Cage Julia Roberts,Adventure Animation Comedy Family Fantasy,John A. Davis,The Ant Bully
1085,desert planet dune giant worm space travel spice,Jürgen Prochnow Virginia Madsen José Ferrer,Action Adventure Sci-Fi,David Lynch,Dune
1086,anti war liverpool love protest song,T.V. Carpio Jim Sturgess Robert Clohessy,Drama Fantasy Musical Romance,Julie Taymor,Across the Universe
1087,based on novel children connecticut suburb work,Kate Winslet Leonardo DiCaprio Joe Komara,Drama Romance,Sam Mendes,Revolutionary Road
1088,alcoholic courthouse detective jail witness,David Zayas Bruce Willis Sasha Roiz,Action Crime Drama Thriller,Richard Donner,16 Blocks
1089,box office flop convent mercenary new york pregnant,Charlotte Rampling Vin Diesel David Belle,Action Adventure Sci-Fi Thriller,Mathieu Kassovitz,Babylon A.D.
1090,detective heavy rain murder partner serial killer,Bob Gunton Alexa PenaVega Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,John Gray,The Glimmer Man
1091,clone cloning construction same actor playing two characters simultaneously on screen year 1996,Brian Doyle-Murray John de Lancie Obba Babatundé,Comedy Romance Sci-Fi,Harold Ramis,Multiplicity
1092,alien attic boyfriend mind control nintendo ds,Carter Jenkins Malese Jow Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,John Schultz,Aliens in the Attic
1093,nevada pledge police porcupine search,Adrien Dorval Costas Mandylor Nels Lennarson,Crime Drama Mystery Thriller,Sean Penn,The Pledge
1094,accountant money opening night scheme swedish,Will Ferrell Jon Lovitz Matthew Broderick,Comedy Musical,Susan Stroman,The Producers
1095,brutality dark humor female antagonist female warrior post apocalypse,Jason Cope Wood Harris Rakie Ayola,Action Sci-Fi,Pete Travis,Dredd
1096,ghost new york city phantom skull superhero,Treat Williams Cary-Hiroyuki Tagawa Kristy Swanson,Action Adventure Comedy Fantasy,Simon Wincer,The Phantom
1097,1940s cowboy mexico railway station texas,Henry Thomas Matt Damon Sam Shepard,Drama Romance Western,Billy Bob Thornton,All the Pretty Horses
1098,courtship election paranoia president quaker,Bob Hoskins Anthony Hopkins Joan Allen,Biography Drama History,Oliver Stone,Nixon
1099,british prime minister death island memoir writer,Olivia Williams Jim Belushi Timothy Hutton,Mystery Thriller,Roman Polanski,The Ghost Writer
1100,creature feature hijacker ocean ship shot in the leg,Jason Flemyng Djimon Hounsou Wes Studi,Action Adventure Horror Sci-Fi,Stephen Sommers,Deep Rising
1101,boy german soldier partisan trapped village,Omari Hardwick Joseph Gordon-Levitt Laz Alonso,Action Crime Drama Thriller War,Spike Lee,Miracle at St. Anna
1102,china chrysanthemum emperor empress prince,Ye Liu Li Gong Man Li,Drama Romance,Yimou Zhang,Curse of the Golden Flower
1103,deaf hitman nightclub pickpocket rules of profession,Charlie Yeung Nicolas Cage James With,Action Crime Thriller,Danny Pang,Bangkok Dangerous
1104,airport fbi agent person in a car trunk suitcase suitcase bomb,Janeane Garofalo Zooey Deschanel Omar Epps,Comedy Crime Thriller,Barry Sonnenfeld,Big Trouble
1105,19th century colombia love marriage widow,Giovanna Mezzogiorno Marcela Mar Unax Ugalde,Drama Romance,Mike Newell,Love in the Time of Cholera
1106,american president assassin conspiracy president white house,Ben Gazzara Sam Waterston Nicholas Turturro,Action Thriller,George P. Cosmatos,Shadow Conspiracy
1107,assassin chinese conspiracy gadget premier,Tim McInnerny Daniel Kaluuya Togo Igawa,Action Adventure Comedy Crime,Oliver Parker,Johnny English Reborn
1108,femme fatale food pun supermarket troubled production,Larry Miller Jerry Stiller Harvey Fierstein,Action Animation Comedy Family Fantasy,Lawrence Kasanoff,Foodfight!
1109,1970s cia f word u.s. embassy year 1979,Scoot McNairy Clea DuVall Tate Donovan,Biography Drama History Thriller,Ben Affleck,Argo
1110,hospital on the run one armed man surgeon u.s. marshal,Daniel Roebuck Harrison Ford Sela Ward,Action Adventure Crime Drama Mystery Thriller,Andrew Davis,The Fugitive
1111,bounty hunter death murder police officer reporter,Dorian Missick Gerard Butler Peter Greene,Action Comedy Romance,Andy Tennant,The Bounty Hunter
1112,boy guard kicked in the crotch prank sexual abuse,Brad Pitt Robert De Niro Minnie Driver,Crime Drama Thriller,Barry Levinson,Sleepers
1113,1980s mission prison rambo vietnam,Julia Nickson Sylvester Stallone Martin Kove,Action Adventure Thriller War,George P. Cosmatos,Rambo: First Blood Part II
1114,breasts mafia sex scene temple woods,Demi Moore Joseph Gordon-Levitt Anne Heche,Drama Thriller,Brian Gibson,The Juror
1115,boy conscience fairy jiminy cricket pinocchio,Dickie Jones Mel Blanc Cliff Edwards,Animation Family Fantasy Musical,Norman Ferguson,Pinocchio
1116,1890s hired gun immigrant johnson county war sheriff,Sam Waterston Jeff Bridges Isabelle Huppert,Adventure Drama Western,Michael Cimino,Heaven's Gate
1117,death feud forbidden love vampire werewolf,Tony Curran Sophia Myles Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,Len Wiseman,Underworld: Evolution
1118,assistant experiment frankenstein medical student scientist,Spencer Wilding Daniel Radcliffe Daniel Mays,Drama Horror Sci-Fi Thriller,Paul McGuigan,Victor Frankenstein
1119,basketball mentor new york school writing,Rob Brown F. Murray Abraham Michael Nouri,Drama,Gus Van Sant,Finding Forrester
1120,12 step program box office hit car accident vomiting wedding,Viggo Mortensen Steve Buscemi Elizabeth Perkins,Comedy Drama,Betty Thomas,28 Days
1121,collar dog fight fighting piano,Jet Li Morgan Freeman Bob Hoskins,Action Crime Drama Thriller,Louis Leterrier,Unleashed
1122,female removes her clothes roommate voyeur voyeurism wedding,Lillian Adams Judith Chapman Chelsea Bond,Comedy Romance,Roger Kumble,The Sweetest Thing
